product_id,product_name,category,material,average_weight_kg,rarity
1,Especially,Medicine,Quantum Alloy,9.48,Rare
2,Research,Technology,Quantum Alloy,11.67,Common
3,War,Artifacts,Quantum Alloy,13.8,Uncommon
4,Present,Medicine,Quantum Alloy,35.55,Common
5,Woman,Artifacts,Biomass,3.34,Uncommon
6,Base,Food,Plasma,41.46,Common
7,How,Artifacts,Biomass,38.64,Common
8,Partner,Technology,Biomass,14.96,Rare
9,Capital,Food,Crystal,6.0,Common
10,Evening,Medicine,Steel,24.51,Uncommon
11,Ago,Weaponry,Steel,17.46,Common
12,Exist,Food,Plasma,25.88,Common
13,Treatment,Weaponry,Crystal,37.08,Legendary
14,Sound,Food,Steel,3.51,Legendary
15,Executive,Weaponry,Biomass,43.56,Common
16,Yet,Artifacts,Plasma,5.56,Rare
17,Look,Weaponry,Biomass,40.52,Common
18,Enter,Medicine,Biomass,34.83,Common
19,Wear,Weaponry,Biomass,47.76,Common
20,Opportunity,Artifacts,Steel,14.93,Rare
21,Whole,Artifacts,Crystal,18.32,Uncommon
22,Much,Artifacts,Plasma,34.31,Common
23,Nation,Artifacts,Steel,31.78,Uncommon
24,Successful,Food,Quantum Alloy,9.41,Common
25,Keep,Weaponry,Biomass,35.36,Uncommon
26,Another,Food,Steel,36.49,Uncommon
27,Me,Weaponry,Quantum Alloy,26.32,Common
28,Support,Food,Steel,32.5,Common
29,Network,Weaponry,Quantum Alloy,9.48,Uncommon
30,Strategy,Technology,Steel,8.21,Common
31,Citizen,Food,Crystal,48.24,Uncommon
32,Stand,Medicine,Steel,15.89,Common
33,Decision,Technology,Steel,24.2,Common
34,Talk,Medicine,Biomass,14.94,Legendary
35,Material,Weaponry,Crystal,19.67,Common
36,Between,Technology,Crystal,2.54,Common
37,Experience,Medicine,Quantum Alloy,34.99,Common
38,Soon,Artifacts,Crystal,15.33,Common
39,Necessary,Medicine,Steel,31.93,Uncommon
40,Catch,Artifacts,Steel,44.23,Uncommon
41,Oil,Artifacts,Crystal,27.61,Legendary
42,Question,Artifacts,Quantum Alloy,45.55,Common
43,Several,Technology,Steel,49.01,Rare
44,Coach,Artifacts,Biomass,34.33,Rare
45,Maybe,Food,Plasma,4.68,Uncommon
46,Tell,Weaponry,Crystal,27.37,Common
47,Occur,Weaponry,Steel,36.49,Common
48,Action,Weaponry,Steel,15.83,Common
49,Tell,Artifacts,Quantum Alloy,30.97,Uncommon
50,Town,Artifacts,Biomass,22.09,Common
51,Task,Artifacts,Crystal,5.92,Common
52,Win,Weaponry,Quantum Alloy,7.91,Uncommon
53,Determine,Medicine,Biomass,46.07,Common
54,Attention,Technology,Steel,0.89,Rare
55,Six,Medicine,Quantum Alloy,17.7,Uncommon
56,True,Artifacts,Crystal,17.48,Common
57,Pressure,Food,Quantum Alloy,12.31,Uncommon
58,Executive,Technology,Plasma,31.43,Common
59,Property,Weaponry,Quantum Alloy,9.73,Common
60,Station,Medicine,Crystal,31.8,Uncommon
61,Fine,Weaponry,Plasma,3.65,Common
62,Simple,Technology,Steel,46.87,Common
63,Business,Medicine,Biomass,3.17,Common
64,Attention,Technology,Steel,20.76,Uncommon
65,Any,Weaponry,Crystal,17.06,Rare
66,Soldier,Weaponry,Quantum Alloy,10.86,Common
67,Sign,Medicine,Crystal,13.44,Uncommon
68,Realize,Food,Steel,22.97,Common
69,Kind,Medicine,Crystal,7.2,Common
70,Whose,Artifacts,Plasma,1.72,Uncommon
71,Short,Technology,Plasma,19.16,Common
72,Too,Technology,Steel,3.64,Common
73,Scientist,Technology,Steel,24.37,Common
74,Congress,Artifacts,Crystal,4.74,Rare
75,High,Artifacts,Quantum Alloy,46.54,Common
76,Street,Medicine,Quantum Alloy,19.66,Common
77,Onto,Artifacts,Crystal,19.82,Uncommon
78,Alone,Medicine,Biomass,38.8,Uncommon
79,Continue,Artifacts,Steel,34.48,Common
80,Reach,Food,Plasma,1.31,Rare
81,Attack,Food,Steel,3.33,Uncommon
82,Worry,Technology,Crystal,7.57,Common
83,Pretty,Food,Steel,4.18,Uncommon
84,White,Medicine,Crystal,42.96,Rare
85,Recently,Artifacts,Plasma,17.34,Common
86,Clearly,Weaponry,Quantum Alloy,5.22,Uncommon
87,Continue,Food,Biomass,44.0,Rare
88,Apply,Technology,Crystal,46.74,Uncommon
89,Southern,Weaponry,Steel,45.15,Common
90,Difficult,Technology,Plasma,27.54,Uncommon
91,Her,Food,Plasma,49.63,Common
92,There,Technology,Quantum Alloy,24.96,Rare
93,Eat,Weaponry,Steel,26.68,Legendary
94,Eye,Technology,Crystal,44.54,Uncommon
95,Executive,Artifacts,Quantum Alloy,11.58,Common
96,Stop,Artifacts,Plasma,44.29,Common
97,Environmental,Food,Steel,43.23,Rare
98,Occur,Medicine,Biomass,7.07,Uncommon
99,Certain,Artifacts,Plasma,46.44,Common
100,Generation,Weaponry,Quantum Alloy,34.6,Uncommon
